"rules","support","confidence","coverage","lift","count"
"{spanish brunch} => {coffee}",0.0108821975699947,0.598837209302326,0.0181722134178553,1.25176550045197,103
"{toast} => {coffee}",0.0236661384046487,0.70440251572327,0.0335974643423138,1.47243149543303,224
"{scone} => {coffee}",0.0180665610142631,0.522935779816514,0.0345483359746434,1.0931067040555,171
"{soup} => {coffee}",0.0158478605388273,0.460122699386503,0.0344426835710512,0.961806835179605,150
"{muffin} => {coffee}",0.0188061278394083,0.489010989010989,0.0384574749075541,1.02219280278026,178
"{alfajores} => {bread}",0.0103539355520338,0.284883720930233,0.0363444268357105,0.870656899775477,98
"{alfajores} => {coffee}",0.0196513470681458,0.540697674418605,0.0363444268357105,1.13023486934013,186
"{brownie} => {bread}",0.0107765451664025,0.269129287598945,0.0400422609614369,0.8225084621001,102
"{brownie} => {coffee}",0.0196513470681458,0.490765171503958,0.0400422609614369,1.0258596175541,186
"{juice} => {coffee}",0.0206022187004754,0.534246575342466,0.0385631273111463,1.11674996369621,195
"{cookies} => {bread}",0.0144743792921289,0.266019417475728,0.0544109878499736,0.813004128643128,137
"{cookies} => {coffee}",0.0282091917591125,0.518446601941748,0.0544109878499736,1.08372285498645,267
"{medialuna} => {bread}",0.0169043845747491,0.273504273504274,0.0618066561014263,0.83587922141361,160
"{medialuna} => {coffee}",0.0351822503961965,0.569230769230769,0.0618066561014263,1.18987836368578,333
"{hot chocolate} => {coffee}",0.0295826730058109,0.507246376811594,0.0583201267828843,1.06031072361346,280
"{sandwich} => {coffee}",0.0382461701003698,0.532352941176471,0.0718436344426836,1.11279164934525,362
"{pastry} => {bread}",0.0291600633914422,0.338650306748466,0.0861067089276281,1.03497744700492,276
"{pastry} => {coffee}",0.0475435816164818,0.552147239263804,0.0861067089276281,1.15416820221553,450
"{cake} => {coffee}",0.0547279450607501,0.526958290946083,0.103856312731115,1.10151506709467,518
"{tea} => {coffee}",0.0498679344955098,0.34962962962963,0.142630744849445,0.730840204161759,472
"{bread} => {coffee}",0.0900158478605388,0.275104940264772,0.327205493924987,0.575059244612648,852
"{bread,pastry} => {coffee}",0.0111991547807713,0.384057971014493,0.0291600633914422,0.802806690735904,106
"{cake,tea} => {coffee}",0.0100369783412573,0.422222222222222,0.0237717908082409,0.882582449941107,95
"{bread,cake} => {coffee}",0.0100369783412573,0.429864253393665,0.0233491811938722,0.898556792926467,95
